Hour_of_Day,BORO,Age,Count_of_Incident
0,BRONX,<18,91
0,BRONX,18-24,261
0,BRONX,25-44,269
0,BRONX,45-64,21
0,BRONX,65+,2
0,BROOKLYN,<18,80
0,BROOKLYN,18-24,275
0,BROOKLYN,25-44,365
0,BROOKLYN,45-64,52
0,BROOKLYN,65+,1
0,MANHATTAN,<18,39
0,MANHATTAN,18-24,121
0,MANHATTAN,25-44,117
0,MANHATTAN,45-64,13
0,MANHATTAN,65+,2
0,QUEENS,<18,28
0,QUEENS,18-24,125
0,QUEENS,25-44,125
0,QUEENS,45-64,5
0,STATEN ISLAND,<18,5
0,STATEN ISLAND,18-24,27
0,STATEN ISLAND,25-44,23
0,STATEN ISLAND,45-64,1
0,STATEN ISLAND,65+,1
1,BRONX,<18,74
1,BRONX,18-24,256
1,BRONX,25-44,225
1,BRONX,45-64,28
1,BROOKLYN,<18,51
1,BROOKLYN,18-24,305
1,BROOKLYN,25-44,354
1,BROOKLYN,45-64,43
1,BROOKLYN,65+,2
1,MANHATTAN,<18,31
1,MANHATTAN,18-24,106
1,MANHATTAN,25-44,124
1,MANHATTAN,45-64,11
1,QUEENS,<18,29
1,QUEENS,18-24,143
1,QUEENS,25-44,139
1,QUEENS,45-64,18
1,STATEN ISLAND,<18,5
1,STATEN ISLAND,18-24,14
1,STATEN ISLAND,25-44,21
1,STATEN ISLAND,45-64,3
2,BRONX,<18,61
2,BRONX,18-24,202
2,BRONX,25-44,215
2,BRONX,45-64,17
2,BROOKLYN,<18,37
2,BROOKLYN,18-24,252
2,BROOKLYN,25-44,278
2,BROOKLYN,45-64,36
2,BROOKLYN,65+,3
2,MANHATTAN,<18,30
2,MANHATTAN,18-24,100
2,MANHATTAN,25-44,108
2,MANHATTAN,45-64,11
2,QUEENS,<18,18
2,QUEENS,18-24,144
2,QUEENS,25-44,145
2,QUEENS,45-64,8
2,QUEENS,65+,4
2,STATEN ISLAND,<18,5
2,STATEN ISLAND,18-24,20
2,STATEN ISLAND,25-44,27
2,STATEN ISLAND,45-64,2
3,BRONX,<18,29
3,BRONX,18-24,186
